Name,EvolvedIn,Culture#,Day#,TimeMeasured,IC95,IC75,IC50,0.04,0.1,0.26,0.66,1.64,4.1,10.2,25.6,64,160,400,1000,1750,2500
T2D13,TMP,2,13,24,2500,2500,1000,0.578,0.4964,0.4932,0.4852,0.49725,0.556,0.52875,0.5695,0.5028,0.52145,0.4241,0.26415,0.18345,0.02185
T2D14,TMP,2,14,24,6250,2500,1750,0.5223,0.459,0.4623,0.4681,0.46795,0.5243,0.49625,0.4931,0.4732,0.45025,0.4261,0.30615,0.21645,0.03165
T2D15,TMP,2,15,24,6250,2500,1750,0.5131,0.4825,0.4603,0.4439,0.48605,0.5165,0.49735,0.5278,0.4583,0.50905,0.421,0.29285,0.20875,0.03755
T2D16,TMP,2,16,24,6250,2500,1750,0.5161,0.5697,0.524,0.5028,0.52405,0.5388,0.50655,0.5293,0.475,0.53285,0.4116,0.34125,0.23565,0.08405
T2D17,TMP,2,17,24,6250,2500,1750,0.5019,0.531,0.4787,0.4697,0.49195,0.546,0.48955,0.5048,0.4736,0.47005,0.4253,0.31945,0.21205,0.04645
T2D18,TMP,2,18,24,6250,2500,1750,0.4962,0.4934,0.4864,0.4995,0.50415,0.5524,0.50195,0.5305,0.4849,0.48175,0.4355,0.31335,0.22025,0.06705
T2D19,TMP,2,19,24,6250,2500,1000,0.5181,0.4657,0.4502,0.4442,0.48335,0.5457,0.46885,0.5601,0.4575,0.46025,0.4014,0.27885,0.20935,0.05165
T2D20,TMP,2,20,24,6250,2500,1000,0.4788,0.4531,0.4382,0.4472,0.46235,0.5535,0.48255,0.4639,0.4435,0.47985,0.3993,0.25635,0.19315,0.05575
T2D21,TMP,2,21,24,6250,2500,1000,0.4806,0.4353,0.4435,0.4378,0.43595,0.5987,0.49345,0.4968,0.4449,0.46215,0.401,0.27735,0.18815,0.04085
V2D1,V041,2,1,24,1.64,0.66,0.66,0.62415,0.59485,0.4869,0.05375,0.0027,0.00245,0.0031,0.0022,0.0007,0,0,0,0,0
V2D2,V041,2,2,24,10.2,4.1,4.1,0.67555,0.59385,0.4858,0.37795,0.3439,0.11635,0.0007,0.0013,0,0,0,0.00255,0.01655,0.06075
V2D3,V041,2,3,24,10.2,4.1,4.1,0.65535,0.60665,0.5208,0.40695,0.3486,0.13645,0.0031,0.0016,0.0002,0.00085,0.00075,0.01015,0.05835,0.01905
V2D4,V041,2,4,24,25.6,25.6,10.2,0.63685,0.59815,0.5869,0.54635,0.5208,0.41905,0.1672,0.0038,0,5.00E-05,0,0.00925,0.07305,0.06775
V2D5,V041,2,5,24,64,64,25.6,0.60935,0.58255,0.5582,0.56725,0.5466,0.51955,0.5303,0.2887,0,0,0,0.04015,0.08185,0.05055
V2D6,V041,2,6,24,64,64,64,0.63395,0.63775,0.5937,0.54165,0.5611,0.53695,0.5418,0.3651,0.0047,0.00055,0,0.04395,0.09485,0.06625
V2D7,V041,2,7,24,64,64,64,0.63605,0.56335,0.5764,0.54635,0.5597,0.53445,0.5465,0.3383,0.0018,0.00055,0,0.04575,0.10455,0.08605
V2D8,V041,2,8,24,160,64,64,0.67475,0.64475,0.6389,0.56155,0.5836,0.55945,0.5662,0.4058,0.0525,0.00135,0.00375,0.02495,0.09915,0.03385
V2D9,V041,2,9,24,160,160,64,0.60835,0.58815,0.5714,0.57485,0.5574,0.56615,0.5797,0.5038,0.2895,0.00225,0,0,0.03935,0.03755
V2D10,V041,2,10,24,400,160,160,0.59305,0.54455,0.5428,0.52705,0.5502,0.53975,0.569,0.5844,0.5157,0.03925,0,0,0.08685,0.11365
V2D11,V041,2,11,24,160,160,160,0.66595,0.60505,0.5746,0.48035,0.4923,0.51025,0.53,0.518,0.4627,0.02175,0,0,0,0
V2D12,V041,2,12,24,160,160,160,0.62425,0.54335,0.5029,0.49295,0.5082,0.51225,0.5384,0.5274,0.4742,0.00045,0,0,0.09705,0.06455
V2D13,V041,2,13,24,160,160,160,0.65695,0.55285,0.5112,0.48255,0.5052,0.49585,0.5766,0.5372,0.5395,0.00285,0,0,0.11135,0.08215
V2D14,V041,2,14,24,400,160,160,0.67245,0.61865,0.5685,0.49585,0.5716,0.51715,0.582,0.5723,0.5365,0.03375,0,0,0.01465,0.12215
V2D15,V041,2,15,24,160,160,160,0.63935,0.57785,0.5432,0.47075,0.4847,0.46955,0.5361,0.5431,0.5501,0.02085,0,0.02915,0.05275,0.15435
V2D16,V041,2,16,24,400,400,160,0.65145,0.60805,0.5415,0.53445,0.5121,0.48425,0.6276,0.5474,0.5789,0.31515,0.00035,0.03715,0.09845,0.13515
